productId,name,quantity,category,subCategory
prod1548#prod104001000080,High-top sneakers,8,Shoes,Sneakers
prod1566#prod106041004115,Lace blouse,4,Clothing,Blouse
prod3214#prod117021007065,Leather belt,2,Accessories,Belts
prod1585#prod500001015120,Tailored waistcoat,71,Clothing,Waistcoat
prod1572#prod108001000090,Slim-fit jeans,3,Clothing,Jeans
prod2289#prod113111027070,Slim-fit chinos,5,Clothing,Chinos
prod3141#prod101121002050,Lace blouse,3,Clothing,Blouse
prod1538#prod102051009065,Logo-print belt,5,Accessories,Belts
prod1524#prod100051005070,Satin blouse,7,Clothing,Blouse
prod3150#prod102091003130,Embellished dress,1,Clothing,Dress
prod1520#prod100011001095,x Off White hooded jacket,9,Clothing,Jacket
prod1640#prod110001009065,Embellished shoulder bag,8,Accessories,Bags
prod1533#prod102001000120,x Off White hoodie,3,Clothing,Hoodie
prod3147#prod100151004100,High-top sneakers,6,Shoes,Sneakers
prod1529#prod101021002065,Slim-fit trousers,2,Clothing,Trousers
prod1527#prod101001000110,Tapered jeans,0,Clothing,Jeans
prod1548#prod104001000130,High-top sneakers,2,Shoes,Sneakers
prod3212#prod115031007085,Logo-print T-shirt,10,Clothing,T-shirt
prod3142#prod101131004110,Floral shirt dress,6,Clothing,Dress
prod1523#prod100041004090,Studded clutch bag,0,Accessories,Bags
prod2302#prod100101003100,Relaxed-fit jeans,9,Clothing,Jeans
prod1542#prod103031003120,Denim shirt dress,1,Clothing,Dress
prod3217#prod121001010085,High-top sneakers,9,Shoes,Sneakers
prod1530#prod101031003095,Sneakers,8,Shoes,Sneakers
prod3215#prod120001005065,Satin blazer,1,Clothing,Blazer
prod1560#prod105031003070,Tailored coat,2,Clothing,Coat
prod1567#prod107001000115,Floral shirt dress,1,Clothing,Dress
prod3146#prod100141002100,Low-top sneakers,10,Shoes,Sneakers
prod3165#prod114121062070,Leather ankle boots,0,Shoes,Boots
prod1642#prod112001010115,Silk camisole,1,Clothing,Camisole
prod3150#prod102091003080,Embellished dress,11,Clothing,Dress
prod3143#prod101141010085,Skinny jeans,4,Clothing,Jeans
prod1533#prod102001000090,x Off White hoodie,0,Clothing,Hoodie
prod3149#prod102081002070,Tapered jeans,7,Clothing,Jeans
prod2278#prod501151004207,Embellished tote bag,1,Accessories,Bags
prod1585#prod500001015090,Tailored waistcoat,525,Clothing,Waistcoat
prod2330#prod117001005110,Suede loafers,8,Shoes,Loafers
prod1572#prod108001000120,Slim-fit jeans,3,Clothing,Jeans
prod2297#prod114071022030,Leather sandals,6,Shoes,Sandals
prod1564#prod106021002105,Logo-print scarf,4,Accessories,Scarves
prod1536#prod102031003080,Leather ankle boots,10,Shoes,Boots
prod1574#prod108021002065,Logo-print hoodie,3,Clothing,Hoodie
prod1544#prod103051005085,Graphic T-shirt,3,Clothing,T-shirt
prod1540#prod103011001060,Silk blouse,4,Clothing,Blouse
prod3151#prod102101004120,Logo-print T-shirt,2,Clothing,T-shirt
prod1528#prod101011001070,Logo-print T-shirt,6,Clothing,T-shirt
prod2284#prod113061003120,Logo-print shorts,5,Clothing,Shorts
prod1521#prod100021002130,Suede ankle boots,1,Shoes,Boots
prod1522#prod100031003065,Leather belt,14,Accessories,Belts
prod1531#prod101041004060,Tailored blazer,7,Clothing,Blazer
prod1526#prod100071007080,Striped shirt dress,10,Clothing,Dress
prod1540#prod103011001050,Silk blouse,2,Clothing,Blouse
prod3151#prod102101004110,Logo-print T-shirt,6,Clothing,T-shirt
prod3218#prod121011003105,Studded clutch bag,0,Accessories,Bags
prod2298#prod114081025080,Logo-print baseball cap,6,Accessories,Caps
prod2304#prod101091003090,Straight-leg trousers,5,Clothing,Trousers
prod2303#prod100111000075,Graphic T-shirt,0,Clothing,T-shirt
prod2284#prod113061003110,Logo-print shorts,5,Clothing,Shorts
prod3144#prod100161004085,Graphic hoodie,0,Clothing,Hoodie
prod3161#prod112031058065,Logo-print hoodie,4,Clothing,Hoodie
prod1595#prod115011003065,Logo-print cap,3,Accessories,Caps
prod2301#prod114111010090,Striped shirt dress,44,Clothing,Dress
prod1565#prod106031003090,Embellished clutch bag,10,Accessories,Bags
prod1521#prod100021002100,Suede ankle boots,18,Shoes,Boots
prod1594#prod115001005065,Leather loafers,6,Shoes,Loafers
prod2280#prod501101021201,Checked shirt,17,Clothing,Shirt
prod1539#prod103001000105,Embroidered clutch bag,4,Accessories,Bags
prod1531#prod101041004050,Tailored blazer,1,Clothing,Blazer
prod1548#prod104001000100,High-top sneakers,4,Shoes,Sneakers
prod1527#prod101001000120,Tapered jeans,0,Clothing,Jeans
prod3147#prod100151004130,High-top sneakers,0,Shoes,Sneakers
prod3146#prod100141002130,Low-top sneakers,2,Shoes,Sneakers
prod3165#prod114121062040,Leather ankle boots,0,Shoes,Boots
prod1542#prod103031003110,Denim shirt dress,4,Clothing,Dress
prod3142#prod101131004120,Floral shirt dress,0,Clothing,Dress
prod2302#prod100101003130,Relaxed-fit jeans,6,Clothing,Jeans
prod1520#prod100011001115,x Off White hooded jacket,9,Clothing,Jacket
prod3169#prod114511011625,Embroidered dress,0,Clothing,Dress
prod2277#prod501141003203,Logo-print beanie,19,Accessories,Beanies
prod2183#prod501071018207,Graphic sweatshirt,5,Clothing,Sweatshirt
prod1562#prod106001000070,x Off White bomber jacket,4,Clothing,Jacket
prod2330#prod117001005120,Suede loafers,0,Shoes,Loafers
prod1572#prod108001000110,Slim-fit jeans,0,Clothing,Jeans
prod3169#prod114511011633,Embroidered dress,5,Clothing,Dress
prod1566#prod106041004095,Lace blouse,4,Clothing,Blouse
prod1563#prod106011001065,Suede loafers,5,Shoes,Loafers
prod3146#prod100141002080,Low-top sneakers,8,Shoes,Sneakers
prod1519#prod100001000060,Straight-leg tailored trousers,6,Clothing,Tailored Pants
prod1567#prod107001000095,Floral shirt dress,0,Clothing,Dress
prod3217#prod121001010105,High-top sneakers,3,Shoes,Sneakers
prod1530#prod101031003115,Sneakers,6,Shoes,Sneakers
prod3142#prod101131004090,Floral shirt dress,11,Clothing,Dress
prod1523#prod100041004110,Studded clutch bag,2,Accessories,Bags
prod2302#prod100101003080,Relaxed-fit jeans,23,Clothing,Jeans
prod3212#prod115031007105,Logo-print T-shirt,4,Clothing,T-shirt
prod2276#prod501131002204,Suede sandals,13,Shoes,Sandals
prod1527#prod101001000090,Tapered jeans,20,Clothing,Jeans
prod3147#prod100151004080,High-top sneakers,3,Shoes,Sneakers
prod3141#prod101121002060,Lace blouse,1,Clothing,Blouse
prod2330#prod117001005090,Suede loafers,3,Shoes,Loafers
prod1585#prod500001015110,Tailored waistcoat,200,Clothing,Waistcoat
prod2329#prod100121010070,x Off White bomber jacket,15,Clothing,Jacket
prod3143#prod101141010105,Skinny jeans,0,Clothing,Jeans
prod1533#prod102001000110,x Off White hoodie,6,Clothing,Hoodie
prod2305#prod101101000075,High-top sneakers,3,Shoes,Sneakers
prod3150#prod102091003100,Embellished dress,12,Clothing,Dress
prod1642#prod112001010095,Silk camisole,0,Clothing,Camisole
prod3145#prod100131001070,Relaxed-fit trousers,6,Clothing,Trousers
prod2182#prod501061007202,Relaxed-fit jeans,9,Clothing,Jeans
prod2304#prod101091003120,Straight-leg trousers,3,Clothing,Trousers
prod2281#prod100091003050,Bootcut jeans,1,Clothing,Jeans
prod2279#prod501091020205,Lace dress,0,Clothing,Dress
prod2306#prod102061000075,Tailored coat,1,Clothing,Coat
prod1544#prod103051005105,Graphic T-shirt,2,Clothing,T-shirt
prod1564#prod106021002085,Logo-print scarf,8,Accessories,Scarves
prod2298#prod114081025130,Logo-print baseball cap,0,Accessories,Caps
prod2297#prod114071022070,Leather sandals,45,Shoes,Sandals
prod1536#prod102031003100,Leather ankle boots,5,Shoes,Boots
prod1526#prod100071007100,Striped shirt dress,9,Clothing,Dress
prod2274#prod501111000205,x Off White sweatpants,14,Clothing,Sweatpants
prod3160#prod112021057050,Slim-fit trousers,2,Clothing,Trousers
prod3165#prod114121062030,Leather ankle boots,4,Shoes,Boots
prod2301#prod114111010120,Striped shirt dress,0,Clothing,Dress
prod1565#prod106031003120,Embellished clutch bag,1,Accessories,Bags
prod1548#prod104001000110,High-top sneakers,2,Shoes,Sneakers
prod3147#prod100151004120,High-top sneakers,1,Shoes,Sneakers
prod1527#prod101001000130,Tapered jeans,0,Clothing,Jeans
prod1560#prod105031003050,Tailored coat,2,Clothing,Coat
prod3146#prod100141002120,Low-top sneakers,0,Shoes,Sneakers
prod3165#prod114121062050,Leather ankle boots,0,Shoes,Boots
prod3142#prod101131004130,Floral shirt dress,2,Clothing,Dress
prod2302#prod100101003120,Relaxed-fit jeans,1,Clothing,Jeans
prod1542#prod103031003100,Denim shirt dress,6,Clothing,Dress
prod1520#prod100011001105,x Off White hooded jacket,7,Clothing,Jacket
prod2330#prod117001005130,Suede loafers,1,Shoes,Loafers
prod1572#prod108001000100,Slim-fit jeans,1,Clothing,Jeans
prod1562#prod106001000060,x Off White bomber jacket,6,Clothing,Jacket
prod3149#prod102081002050,Tapered jeans,3,Clothing,Jeans
prod1566#prod106041004085,Lace blouse,9,Clothing,Blouse
prod2277#prod501141003205,Logo-print beanie,3,Accessories,Beanies
prod2183#prod501071018201,Graphic sweatshirt,17,Clothing,Sweatshirt
prod3151#prod102101004100,Logo-print T-shirt,7,Clothing,T-shirt
prod3218#prod121011003115,Studded clutch bag,1,Accessories,Bags
prod1528#prod101011001050,Logo-print T-shirt,1,Clothing,T-shirt
prod2298#prod114081025090,Logo-print baseball cap,18,Accessories,Caps
prod3144#prod100161004095,Graphic hoodie,1,Clothing,Hoodie
prod2304#prod101091003080,Straight-leg trousers,15,Clothing,Trousers
prod2303#prod100111000065,Graphic T-shirt,0,Clothing,T-shirt
prod2284#prod113061003100,Logo-print shorts,16,Clothing,Shorts
prod2280#prod501101021207,Checked shirt,4,Clothing,Shirt
prod1595#prod115011003075,Logo-print cap,8,Accessories,Caps
prod2301#prod114111010080,Striped shirt dress,53,Clothing,Dress
prod1565#prod106031003080,Embellished clutch bag,2,Accessories,Bags
prod1521#prod100021002110,Suede ankle boots,2,Shoes,Boots
prod3161#prod112031058075,Logo-print hoodie,7,Clothing,Hoodie
prod1594#prod115001005075,Leather loafers,10,Shoes,Loafers
prod1539#prod103001000115,Embroidered clutch bag,2,Accessories,Bags
prod2279#prod501091020203,Lace dress,21,Clothing,Dress
prod3145#prod100131001060,Relaxed-fit trousers,3,Clothing,Trousers
prod2304#prod101091003130,Straight-leg trousers,3,Clothing,Trousers
prod2182#prod501061007204,Relaxed-fit jeans,1,Clothing,Jeans
prod1564#prod106021002095,Logo-print scarf,7,Accessories,Scarves
prod2298#prod114081025120,Logo-print baseball cap,0,Accessories,Caps
prod2297#prod114071022060,Leather sandals,17,Shoes,Sandals
prod1536#prod102031003110,Leather ankle boots,4,Shoes,Boots
prod2306#prod102061000065,Tailored coat,5,Clothing,Coat
prod1544#prod103051005115,Graphic T-shirt,1,Clothing,T-shirt
prod1526#prod100071007110,Striped shirt dress,7,Clothing,Dress
prod2274#prod501111000203,x Off White sweatpants,30,Clothing,Sweatpants
prod2301#prod114111010130,Striped shirt dress,0,Clothing,Dress
prod1565#prod106031003130,Embellished clutch bag,2,Accessories,Bags
prod3165#prod114121062020,Leather ankle boots,2,Shoes,Boots
prod1575#prod108031003050,Straight-leg trousers,1,Clothing,Trousers
prod1519#prod100001000070,Straight-leg tailored trousers,6,Clothing,Tailored Pants
prod1567#prod107001000085,Floral shirt dress,0,Clothing,Dress
prod1563#prod106011001075,Suede loafers,9,Shoes,Loafers
prod3146#prod100141002090,Low-top sneakers,10,Shoes,Sneakers
prod2276#prod501131002202,Suede sandals,31,Shoes,Sandals
prod3142#prod101131004080,Floral shirt dress,12,Clothing,Dress
prod1523#prod100041004100,Studded clutch bag,2,Accessories,Bags
prod2302#prod100101003090,Relaxed-fit jeans,16,Clothing,Jeans
prod3217#prod121001010115,High-top sneakers,0,Shoes,Sneakers
prod1530#prod101031003105,Sneakers,8,Shoes,Sneakers
prod3212#prod115031007115,Logo-print T-shirt,4,Clothing,T-shirt
prod3147#prod100151004090,High-top sneakers,12,Shoes,Sneakers
prod1527#prod101001000080,Tapered jeans,8,Clothing,Jeans
prod2330#prod117001005080,Suede loafers,3,Shoes,Loafers
prod3141#prod101121002070,Lace blouse,2,Clothing,Blouse
prod2289#prod113111027050,Slim-fit chinos,0,Clothing,Chinos
prod2329#prod100121010060,x Off White bomber jacket,7,Clothing,Jacket
prod1585#prod500001015100,Tailored waistcoat,353,Clothing,Waistcoat
prod2305#prod101101000065,High-top sneakers,3,Shoes,Sneakers
prod3143#prod101141010115,Skinny jeans,0,Clothing,Jeans
prod1533#prod102001000100,x Off White hoodie,0,Clothing,Hoodie
prod1524#prod100051005050,Satin blouse,8,Clothing,Blouse
prod1642#prod112001010085,Silk camisole,2,Clothing,Camisole
prod3150#prod102091003110,Embellished dress,5,Clothing,Dress
prod1542#prod103031003080,Denim shirt dress,10,Clothing,Dress
prod1523#prod100041004130,Studded clutch bag,0,Accessories,Bags
prod1546#prod103071007065,Relaxed-fit trousers,3,Clothing,Trousers
prod1548#prod104001000090,High-top sneakers,6,Shoes,Sneakers
prod3214#prod117021007075,Leather belt,4,Accessories,Belts
prod1585#prod500001015130,Tailored waistcoat,0,Clothing,Waistcoat
prod2329#prod100121010050,x Off White bomber jacket,1,Clothing,Jacket
prod1566#prod106041004105,Lace blouse,1,Clothing,Blouse
prod2988#prod502021015302,Logo-print scarf,134,Accessories,Scarves
prod2289#prod113111027060,Slim-fit chinos,2,Clothing,Chinos
prod1572#prod108001000080,Slim-fit jeans,7,Clothing,Jeans
prod3150#prod102091003120,Embellished dress,2,Clothing,Dress
prod1538#prod102051009075,Logo-print belt,2,Accessories,Belts
prod1524#prod100051005060,Satin blouse,0,Clothing,Blouse
prod1520#prod100011001085,x Off White hooded jacket,13,Clothing,Jacket
prod1640#prod110001009075,Embellished shoulder bag,12,Accessories,Bags
prod1533#prod102001000130,x Off White hoodie,2,Clothing,Hoodie
prod2304#prod101091003100,Straight-leg trousers,11,Clothing,Trousers
prod2284#prod113061003080,Logo-print shorts,26,Clothing,Shorts
prod2281#prod100091003070,Bootcut jeans,4,Clothing,Jeans
prod3144#prod100161004115,Graphic hoodie,0,Clothing,Hoodie
prod3145#prod100131001050,Relaxed-fit trousers,3,Clothing,Trousers
prod2297#prod114071022050,Leather sandals,6,Shoes,Sandals
prod2298#prod114081025110,Logo-print baseball cap,0,Accessories,Caps
prod1536#prod102031003120,Leather ankle boots,2,Shoes,Boots
prod3151#prod102101004080,Logo-print T-shirt,12,Clothing,T-shirt
prod3218#prod121011003095,Studded clutch bag,2,Accessories,Bags
prod1543#prod103041004075,Skinny jeans,3,Clothing,Jeans
prod1539#prod103001000095,Embroidered clutch bag,4,Accessories,Bags
prod1526#prod100071007120,Striped shirt dress,2,Clothing,Dress
prod1575#prod108031003060,Straight-leg trousers,5,Clothing,Trousers
prod1565#prod106031003100,Embellished clutch bag,6,Accessories,Bags
prod2301#prod114111010100,Striped shirt dress,6,Clothing,Dress
prod1521#prod100021002090,Suede ankle boots,10,Shoes,Boots
prod3160#prod112021057070,Slim-fit trousers,5,Clothing,Trousers
prod1574#prod108021002075,Logo-print hoodie,4,Clothing,Hoodie
prod1544#prod103051005095,Graphic T-shirt,6,Clothing,T-shirt
prod1564#prod106021002115,Logo-print scarf,5,Accessories,Scarves
prod1536#prod102031003090,Leather ankle boots,12,Shoes,Boots
prod1528#prod101011001060,Logo-print T-shirt,0,Clothing,T-shirt
prod1540#prod103011001070,Silk blouse,5,Clothing,Blouse
prod3151#prod102101004130,Logo-print T-shirt,1,Clothing,T-shirt
prod3231#prod502111053302,Straight-leg tailored trousers,115,Clothing,Tailored Pants
prod1521#prod100021002120,Suede ankle boots,0,Shoes,Boots
prod1531#prod101041004070,Tailored blazer,9,Clothing,Blazer
prod1522#prod100031003075,Leather belt,0,Accessories,Belts
prod1526#prod100071007090,Striped shirt dress,13,Clothing,Dress
prod1527#prod101001000100,Tapered jeans,10,Clothing,Jeans
prod3147#prod100151004110,High-top sneakers,1,Shoes,Sneakers
prod1529#prod101021002075,Slim-fit trousers,8,Clothing,Trousers
prod3212#prod115031007095,Logo-print T-shirt,6,Clothing,T-shirt
prod3169#prod114511011629,Embroidered dress,6,Clothing,Dress
prod1548#prod104001000120,High-top sneakers,1,Shoes,Sneakers
prod1542#prod103031003130,Denim shirt dress,2,Clothing,Dress
prod3217#prod121001010095,High-top sneakers,1,Shoes,Sneakers
prod3215#prod120001005075,Satin blazer,0,Clothing,Blazer
prod1530#prod101031003085,Sneakers,10,Shoes,Sneakers
prod3142#prod101131004100,Floral shirt dress,5,Clothing,Dress
prod1523#prod100041004080,Studded clutch bag,0,Accessories,Bags
prod2302#prod100101003110,Relaxed-fit jeans,6,Clothing,Jeans
prod3146#prod100141002110,Low-top sneakers,6,Shoes,Sneakers
prod3165#prod114121062060,Leather ankle boots,2,Shoes,Boots
prod1567#prod107001000105,Floral shirt dress,1,Clothing,Dress
prod1560#prod105031003060,Tailored coat,0,Clothing,Coat
prod3150#prod102091003090,Embellished dress,14,Clothing,Dress
prod1642#prod112001010105,Silk camisole,5,Clothing,Camisole
prod2278#prod501151004201,Embellished tote bag,15,Accessories,Bags
prod3143#prod101141010095,Skinny jeans,0,Clothing,Jeans
prod1533#prod102001000080,x Off White hoodie,0,Clothing,Hoodie
prod1585#prod500001015080,Tailored waistcoat,502,Clothing,Waistcoat
prod3149#prod102081002060,Tapered jeans,4,Clothing,Jeans
prod1562#prod106001000050,x Off White bomber jacket,1,Clothing,Jacket
prod2330#prod117001005100,Suede loafers,9,Shoes,Loafers
prod2297#prod114071022020,Leather sandals,2,Shoes,Sandals
prod1572#prod108001000130,Slim-fit jeans,1,Clothing,Jeans
prod3160#prod112021057100,Slim-fit trousers,5,Clothing,Trousers
prod2181#prod501051005207,Striped shirt,4,Clothing,Shirt
prod1575#prod108031003110,Straight-leg trousers,4,Clothing,Trousers
prod3161#prod112031058085,Logo-print hoodie,12,Clothing,Hoodie
prod2182#prod501061007205,Relaxed-fit jeans,3,Clothing,Jeans
prod2301#prod114111010070,Striped shirt dress,41,Clothing,Dress
prod1565#prod106031003070,Embellished clutch bag,16,Accessories,Bags
prod1595#prod115011003085,Logo-print cap,4,Accessories,Caps
prod1526#prod100071007050,Striped shirt dress,2,Clothing,Dress
prod1594#prod115001005085,Leather loafers,7,Shoes,Loafers
prod1543#prod103041004105,Skinny jeans,3,Clothing,Jeans
prod2279#prod501091020202,Lace dress,25,Clothing,Dress
prod1536#prod102031003050,Leather ankle boots,8,Shoes,Boots
prod2298#prod114081025060,Logo-print baseball cap,1,Accessories,Caps
prod2297#prod114071022120,Leather sandals,0,Shoes,Sandals
prod2274#prod501111000202,x Off White sweatpants,0,Clothing,Sweatpants
prod3145#prod100131001120,Relaxed-fit trousers,3,Clothing,Trousers
prod2304#prod101091003070,Straight-leg trousers,11,Clothing,Trousers
prod2303#prod100111000095,Graphic T-shirt,0,Clothing,T-shirt
prod3144#prod100161004065,Graphic hoodie,3,Clothing,Hoodie
prod2281#prod100091003100,Bootcut jeans,4,Clothing,Jeans
prod1640#prod110001009105,Embellished shoulder bag,8,Accessories,Bags
prod3150#prod102091003050,Embellished dress,3,Clothing,Dress
prod1524#prod100051005110,Satin blouse,4,Clothing,Blouse
prod1538#prod102051009105,Logo-print belt,8,Accessories,Belts
prod1562#prod106001000090,x Off White bomber jacket,7,Clothing,Jacket
prod3141#prod101121002130,Lace blouse,1,Clothing,Blouse
prod2289#prod113111027110,Slim-fit chinos,6,Clothing,Chinos
prod3214#prod117021007105,Leather belt,4,Accessories,Belts
prod2276#prod501131002203,Suede sandals,24,Shoes,Sandals
prod1566#prod106041004075,Lace blouse,6,Clothing,Blouse
prod2329#prod100121010120,x Off White bomber jacket,0,Clothing,Jacket
prod1546#prod103071007115,Relaxed-fit trousers,3,Clothing,Trousers
prod1519#prod100001000130,Straight-leg tailored trousers,2,Clothing,Tailored Pants
prod1562#prod106001000120,x Off White bomber jacket,3,Clothing,Jacket
prod3141#prod101121002080,Lace blouse,7,Clothing,Blouse
prod2330#prod117001005070,Suede loafers,1,Shoes,Loafers
prod2329#prod100121010090,x Off White bomber jacket,20,Clothing,Jacket
prod3149#prod102081002110,Tapered jeans,7,Clothing,Jeans
prod2305#prod101101000095,High-top sneakers,3,Shoes,Sneakers
prod1642#prod112001010075,Silk camisole,1,Clothing,Camisole
prod3165#prod114121062110,Leather ankle boots,2,Shoes,Boots
prod2277#prod501141003204,Logo-print beanie,18,Accessories,Beanies
prod1563#prod106011001085,Suede loafers,1,Shoes,Loafers
prod3146#prod100141002060,Low-top sneakers,3,Shoes,Sneakers
prod1519#prod100001000080,Straight-leg tailored trousers,0,Clothing,Tailored Pants
prod1560#prod105031003110,Tailored coat,0,Clothing,Coat
prod1567#prod107001000075,Floral shirt dress,1,Clothing,Dress
prod3215#prod120001005105,Satin blazer,1,Clothing,Blazer
prod2302#prod100101003060,Relaxed-fit jeans,9,Clothing,Jeans
prod3142#prod101131004070,Floral shirt dress,10,Clothing,Dress
prod3169#prod114511011634,Embroidered dress,1,Clothing,Dress
prod1548#prod104001000050,High-top sneakers,3,Shoes,Sneakers
prod1527#prod101001000070,Tapered jeans,3,Clothing,Jeans
prod1529#prod101021002105,Slim-fit trousers,4,Clothing,Trousers
prod3147#prod100151004060,High-top sneakers,5,Shoes,Sneakers
prod1531#prod101041004100,Tailored blazer,6,Clothing,Blazer
prod1522#prod100031003105,Leather belt,4,Accessories,Belts
prod1521#prod100021002050,Suede ankle boots,4,Shoes,Boots
prod3145#prod100131001090,Relaxed-fit trousers,6,Clothing,Trousers
prod1528#prod101011001110,Logo-print T-shirt,3,Clothing,T-shirt
prod1540#prod103011001100,Silk blouse,1,Clothing,Blouse
prod1574#prod108021002105,Logo-print hoodie,5,Clothing,Hoodie
prod2306#prod102061000095,Tailored coat,4,Clothing,Coat
prod1564#prod106021002065,Logo-print scarf,8,Accessories,Scarves
prod2297#prod114071022090,Leather sandals,31,Shoes,Sandals
prod1543#prod103041004085,Skinny jeans,3,Clothing,Jeans
prod1531#prod101041004130,Tailored blazer,2,Clothing,Blazer
prod1539#prod103001000065,Embroidered clutch bag,6,Accessories,Bags
prod1594#prod115001005105,Leather loafers,5,Shoes,Loafers
prod1521#prod100021002060,Suede ankle boots,4,Shoes,Boots
prod1595#prod115011003105,Logo-print cap,4,Accessories,Caps
prod1575#prod108031003090,Straight-leg trousers,4,Clothing,Trousers
prod3161#prod112031058105,Logo-print hoodie,8,Clothing,Hoodie
prod3160#prod112021057080,Slim-fit trousers,8,Clothing,Trousers
prod2281#prod100091003080,Bootcut jeans,10,Clothing,Jeans
prod2284#prod113061003070,Logo-print shorts,11,Clothing,Shorts
prod2303#prod100111000115,Graphic T-shirt,5,Clothing,T-shirt
prod3218#prod121011003065,Studded clutch bag,0,Accessories,Bags
prod1540#prod103011001130,Silk blouse,5,Clothing,Blouse
prod3151#prod102101004070,Logo-print T-shirt,5,Clothing,T-shirt
prod1528#prod101011001120,Logo-print T-shirt,1,Clothing,T-shirt
prod2267#prod503131035500,Slim-fit chinos,19,Clothing,Chinos
prod3149#prod102081002120,Tapered jeans,0,Clothing,Jeans
prod3214#prod117021007085,Leather belt,0,Accessories,Belts
prod2298#prod114081025020,Logo-print baseball cap,1,Accessories,Caps
prod1572#prod108001000070,Slim-fit jeans,5,Clothing,Jeans
prod1562#prod106001000110,x Off White bomber jacket,4,Clothing,Jacket
prod2289#prod113111027090,Slim-fit chinos,25,Clothing,Chinos
prod1524#prod100051005090,Satin blouse,9,Clothing,Blouse
prod1538#prod102051009085,Logo-print belt,18,Accessories,Belts
prod3169#prod114511011628,Embroidered dress,5,Clothing,Dress
prod1640#prod110001009085,Embellished shoulder bag,21,Accessories,Bags
prod1520#prod100011001075,x Off White hooded jacket,6,Clothing,Jacket
prod2302#prod100101003050,Relaxed-fit jeans,5,Clothing,Jeans
prod1542#prod103031003070,Denim shirt dress,6,Clothing,Dress
prod1546#prod103071007095,Relaxed-fit trousers,7,Clothing,Trousers
prod2301#prod114111010030,Striped shirt dress,5,Clothing,Dress
prod1560#prod105031003120,Tailored coat,0,Clothing,Coat
prod3165#prod114121062120,Leather ankle boots,1,Shoes,Boots
prod3146#prod100141002050,Low-top sneakers,0,Shoes,Sneakers
prod3147#prod100151004050,High-top sneakers,2,Shoes,Sneakers
prod1548#prod104001000060,High-top sneakers,5,Shoes,Sneakers
prod1524#prod100051005120,Satin blouse,0,Clothing,Blouse
prod3150#prod102091003060,Embellished dress,4,Clothing,Dress
prod2305#prod101101000115,High-top sneakers,1,Shoes,Sneakers
